,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,min_salary,max_salary,avg_salary,company_name,job_state,age,excel,sql,python,tableau,word,crm,job_simp,seniority,desc_len
496,ServiceNow Business Analyst (TS/SCI-CI Poly) DODFF8,$42K-$81K (Glassdoor est.),"E3/Sentinel’s Defense Division supports customers across the Department of Defense, including the Office of the Secretary of Defense, Department of the Navy, National Guard Bureau, Office of the Inspector General, and Washington Headquarters Services. By providing program assistance and technical innovation to ensure our nation’s security, E3/Sentinel employees help our clients navigate through dynamic environments. Our Defense Division offers a variety of career paths, including program management, systems engineering and technical assistance (SETA), financial analysis, operational support, financial analysis, facilities management, and more.

E3/Sentinel is looking for a ServiceNow Business Analyst to support our client. This Business Systems Analyst supports the client and internal SDLC (software development life cycle) teams with expertise of business objectives and documented work products in all project phases. This includes process work-flows (as-is, to-be, etc), alternative of analysis, requirement gathering, vetting and tracking, project reporting, quality assurance testing, training delivery and desktop procedure documentation.
Our Analysts are client advocates who bring business solution ideas into implemented project reality. Duties inlude:

Will identify and clarify problem(s) to be solved through the use of ServiceNow application features
Will lead user community in structured meetings using industry standard requirements processes, such as use cases or Business Process Model and Notation (BPMN), to produce written artifiacts, such as Concept of Operations, Requirements documentation and others
Will be knowledgeable on the functional capabilities of ServiceNow

Minimum six(6) years IT experience
Minimum of two (2) successful ServiceNow deployments, including ITSM and building user applications in ServiceNow
Strong technical writing skills
Strong verbal skills with the ability to present to senior leadership
Ability to convert users’ needs to technical requirement
Strong technical writing skills
Active TS/SCI with CI Poly clearance

Certified ServiceNow Administrator certification
Certified Application Developer certification
Certified Implementation Specialist certification
US Government implementation experience

E3/Sentinel is an equal opportunity employer and Vietnam Era Veterans Readjustment Assistance Act (VEVRAA) federal contractor. All qualified applicants receive consideration for employment without regard to race, color, religion, gender, national origin, age, sexual orientation, gender identity, protected veteran status, or status as a qualified individual with a disability. E3/Sentinel hires and promotes individuals solely on the basis of their qualifications for the job to be filled.",4.4,"E3 Federal Solutions, LLC
4.4","Fort Meade, MD",-1,501 to 1000 Employees,2004,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,42,81,61.5,"E3 Federal Solutions, LLC",MD,16,0,0,0,0,0,0,business analyst,na,2758
497,Media Data Analyst,$42K-$81K (Glassdoor est.),"Do you have a passion for working with data and an endless curiosity about the trends that numbers can reveal? Are you both a creative and quantitative thinker? The Media Data Analyst will play a central role in advancing TMPs media analytics, intelligence, and strategy. Were looking for a strong team player whos keen to delve deep into large data sets, build a strong data foundation from a media trading lens, develop new measurement frameworks, articulate actionable insights, and is unafraid to challenge the status quo in their quest for data accuracy and recruitment marketing advancement.

Why Join Us?
Truly high-performing teams are hard to come by; joining us gives you an opportunity to collaborate with, learn from, and grow together with a diverse group of high achievers who listen to your ideas and support you along the way
An entrepreneurial path of progression. Hard work is recognized and individuality is embraced. Your path of progression will be designed to suit you
About this Job:

Fundamentals
Comfortable with ambiguity, and flexible to work in a fast-paced, fluid environment where formal requirements or guidelines may not always be readily available
Champion data literacy, data analytics, and data-driven marketing
Solve difficult, non-routine analysis problems, and apply advanced analytical methods as needed and work with large complex data sets
Mine data and analytics at the customer level to gain a better understanding of their usage behaviors, including impacts of current marketing strategies
Develop a deep understanding of existing business using data to build insights about our advertisers and sales programs
Analytics
Analyze current market, vertical, and sub-vertical performance and identify levers for driving revenue growth
Choose the proper metrics for tracking and understanding current and future experiments
Build and iterate forecast models specific to Media Science channels. Collaborate with Data Science, Product functions, and other Media Science peers to help develop a common contextual data layer to aggregate data, enable more efficient data mining, and transform data into richer insights
Create and track metrics about data pipelines and quality via dashboards. Identify quality issues, ensure they are visible to the appropriate stakeholders, and drive to resolution
Implement and analyze A/B or Multivariate Tests to provide actionable insights to the marketing team on the test data
Innovation
Develop dashboards that provide reliable insights and visualization into rider and channel performance relative to KPIs, projections, and historical performance
Find efficiencies in current processes and be an advocate for implementing and upholding best practices
Integrate new sources into existing data sets and perform new calculations, including production code to maintain, improve and optimize analysis at scale
Collaboration
Present findings to senior management to drive business and marketing decisions
Deliver consistent and accurate reporting that provides both high-level and granular POVs on DG performance on a weekly, monthly, quarterly, annual, and ad hoc basis. Create dashboards and compelling data visualizations that are insightful, thoughtful, engaging, and can distill complex concepts in formats that are accessible at every level of the organization
Prioritize and work well in an environment with competing demands from multiple stakeholders in Marketing
Requirements for consideration:
BS/MS in Engineering, Computer Science, Math, Economics, Statistics, or equivalent experience
Minimum 2 years of analytical and database experience
Marketing analytics or consulting experience is a plus
Exceptional problem solving, critical thinking, and project management skills with the capacity and anticipation to adjust based on shifting deadlines and moving priorities
Excellent programming skills in SQL and Python. R is a plus
Proficiency with multiple analytical and database tools (e.g BigQuery, Jupyter notebooks, Presto, Tableau or alike)
Excellent data visualization skills. Experience creating dashboard reporting in DataStudio, Tableau or a similar visualization tool a plus
Speed, resourcefulness and a go-getter attitude. Moving quickly and executing to allow for continual iteration is a core qualification of our team
Willing to contribute new ideas and articulate them to a variety of stakeholders and not just execute on existing ones
Quest to deliver impact, but also invests in themselves and others. We dont get better by standing still, so you will need to consistently seek to innovate and raise the bar
A love of data - you just go get the data you need and turn it into an insightful story. You know how to convert data into decisions without getting stuck in paralysis by analysis
We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.",3.4,"TMP Worldwide
3.4","Chicago, IL",-1,501 to 1000 Employees,2006,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),-1,42,81,61.5,TMP Worldwide,IL,14,1,1,1,1,0,0,data analyst,na,5047
498,"Quality Automation BI Analyst (Strong Data Analysis, Streaming and Validation)",$42K-$81K (Glassdoor est.),"Quality Automation BI Analyst (Strong Data Analysis, Streaming and Validation)

Position Overview

Leads and defines the Business Intelligence testing strategy/plan and executes test phases on BI implementations, quarterly releases, and a new Business Intelligence stack re-architecture. Self-starter with a data analysis and quality assurance background who can navigate complex databases and reporting along with upstream data sources to ensure data scenarios are defined and executed. Identifies gaps and efficiencies from a technical and functional perspective and defines appropriate solutions. Implements testing process that meets BI objectives while adhering to standards established across product teams.

Responsibilities:
Lead test strategy and planning for validating the Business Intelligence application, reports, regression, and ensuring data quality
Work with various teams to create, enhance and maintain the Business Intelligence set of test cases.
Maintain existing and develop new QA test automation scripts using standard languages and tools.
Build and maintain the test data and test cases that will be used for release testing and regression testing, ensuring validation is completed as early in the schedule as possible.
Lead senior level team members through the decision process and ensure stakeholder alignment.
Ensure that deliverables demonstrate efficiency, maintainability, and re-usability.
Lead the training as required for the Business Intelligence application and reporting suite. Facilitate communication between members of the project team, both technical and nontechnical, on issues and expectations.
Gather Business Intelligence requirements and perform data analysis as required to ensure product enhancements are defined and translated into user stories that can be production ready when complete.
Develop and complete special projects as assigned.
Maintain regular and predictable attendance.
Perform other duties as assigned.
Education and Experience

Required:
Bachelor's Degree in Information Technology, Computer Science, or a related degree, or equivalent experience
8+ years of Quality Assurance and testing of Business Intelligence/Data Warehousing and Reporting solutions
Preferred:
10+ years IT-related experience, such as Quality Assurance and testing of Business Intelligence/Data Warehousing and Reporting solutions experience
Life Insurance industry experience
Skills and Abilities

Required:
Ability to quickly translate project needs and problems into efficient test scenarios/data scenarios.
Advanced data analysis and database validation knowledge and experience
Strong background with the Agile Methodology
Advanced analytical and problem-solving skills
Ability to effectively work with subject matter experts as well as technical Information Technology professionals.
Ability to work both as a team member, leader and independently.
Advanced oral and written communication and presentation skills
Ability to multi-task.
Ability to work with limited supervision.
Aptitude for learning new technologies
Advanced negotiation skills with ability to obtain most favorable and cost effective solutions.
Advanced ability to set goals and handle multiple tasks, clients, and projects simultaneously; Ability to appropriately balance priorities, deadlines, and deliverables
Ability to work well within a team environment and lead department/team projects
Ability to balance detail with departmental goals/objectives
Ability to manage multiple projects or teams and set applicable goals
Advanced negotiating and persuasion skills
Ability to liaise with individuals across a wide variety of operational, functional, and technical disciplines
Technical:
Advanced experience writing SQL queries within complex database environments
Advanced experience initiating, building and maintaining comprehensive test suites and associated data
Advanced experience with Python, Docker Containers, Jenkins
Familiar with AWS tools such as Kinesis, Lambda, Aurora Postgres, Redshift
Experience with testing SSRS and Tableau
Advanced experience with SOAP UI or equivalent",4.3,"The Syllogisteks Company
4.3","Weldon Spring, MO",-1,Unknown,1992,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),-1,42,81,61.5,The Syllogisteks Company,MO,28,0,1,1,1,0,0,analyst,na,4105
499,Marketing Analyst,$42K-$81K (Glassdoor est.),"AST was founded on one simple thought, put our people and our customers first and you can never lose. We are strategic contributors, partnering with forward-thinking organizations to pursue leading-edge digital transformation, process reengineering, and technology solutions.

If you're someone with energy, drive, and creativity, this just might be the place for you!

Currently, we are looking for a talented Marketing Analyst to join our team! This is a full-time position, based out of our headquarters, in the Chicago suburbs.

What you'll do:

Drive top-of-the-funnel activity and generate leads through the following activities:
Create brand-appropriate content (draft, collaborate, proofread, and publish) including, but not limited to, case studies, data sheets, press releases, white papers, web pages, videos and social media.
Support and run campaigns in coordination with sales and technical teams.
Support event management for customer- and partner-facing events, including trade shows, seminars, and other promotional events.
Develop booklets or placemats for client presentations during the bid process, working closely with pre-sales and project teams to streamline messaging and visual representation of qualifications.
Proofread various documents (technical and promotional) to ensure they are in keeping with the overall AST voice and publication standards.
What you bring:
Ability to work closely with all levels of the organization, including remote teams and offshore, to achieve business objectives on time and within budget
Exceptional verbal and written communication skills
Expert organization and planning skills
Strong attention to detail
Advanced Microsoft Office skills in PPT, Word, Excel, and Publisher
Pardot (or other marketing automation tools)
Salesforce campaign management
Knowledge of Office 365 and SharePoint functions
Degree in Marketing, Communications or related
2-4 years Marketing experience
Please be able to provide samples or a portfolio of your work.
A love for what you do!
What we bring: AT AST, we know our people are the key to our success and that means having happy and healthy employees. The pros of working at AST extend well beyond your paycheck. As an employee, you will have access to ASTs Total Rewards program. We offer medical, dental, and vision benefits, with plans to suit you and your familys needs, as well as retirement, disability, and life insurance. We also offer additional benefits, such as commuter benefits, legal insurance, pet insurance, sabbatical leave, education reimbursement, parental leave, and much more.

Our Culture: At AST, people make the difference. Weve discovered over our 25 years in business, the more we invest in our talent, the greater the return. We foster a culture of trust, ownership, and innovation at every level of the organization. All doors are open and everyones ideas matter, giving our people the ability to quickly understand our customers needs and translate those needs into action. While we celebrate individual wins, we always strive for shared success. We are One AST.

Powered by JazzHR",4.4,"Applications Software Technology Corporation
4.4","Lisle, IL",-1,501 to 1000 Employees,1995,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,42,81,61.5,Applications Software Technology Corporation,IL,25,1,0,0,0,1,0,marketing analyst,na,3104
500,Slot Performance Analyst,$42K-$81K (Glassdoor est.),"The Slot Performance Analyst will provide insights and report on findings via data visualizations and stories derived from various sources related to project and initiative activities for the Slot Department. By exploring market trends, competitors, players, the Performance Analyst will help to foster a data driven environment through the creation of models and analysis that drive revenue, profit and rated slot play. This individual will coordinate with internal operations, external agencies and slot vendors to collect and retrieve data required for research projects.

Under the direction of the Slot Performance Manager, the Performance Analyst is responsible for creating and curating decision based reporting utilizing slot and player related data. The Performance Analyst will execute ad-hoc and recurring reports to inform on the efficacy of slot projects and to aid in the discovery of additional revenue generating opportunities as well as quantify anticipated benefits for prioritization.

Essential Duties & Responsibilities
Applies knowledge of gaming machines, gaming systems, slot accounting systems, and slot performance systems to provide procedures, analysis, reports and recommendations to Slot Management.
Build business intelligence, reports and dashboards using a combination of software such as Microsoft Excel, Tableau, SAS Enterprise Guide and VizExplorer that include customer behavior or trends based on slot and player data.
Conduct market research for determining what product is leading the industry, understanding customer needs, and analyzing competitors.
Generate reports that analyze customers, product, and project activities using charts, graphs, explanatory text and developed ROI formats.
Assists in the development of capital expenditure plans for slot product and components using ROI formats.
Regularly monitors and reports on the cost of acquisition of slot product and components.
Provides in-depth analytical reporting on slot financials on a recurring basis.
Creates advanced predictive models to measure expected effects of slot changes.
Provides current gaming information after careful vendor research of gaming components and systems of potential vendors and evaluates proposals.
Presents reports in meetings with staff and management.
Sets benchmarks for departmental goals/initiatives and measures efficacy via data reporting.
Perform special studies as assigned, including preparation of written and/or verbal reports.
Oversee all department presentation materials, including but not limited to, final reports, PowerPoint presentations, and all electronic presentation deliverables.
Perform other duties as assigned to support the efficient operation of the department.
Education/Experience/Qualifications
Bachelors degree required, Masters Degree in Computer Science, Economics, Business, Finance, Mathematics, or related field preferred.
One (1) year experience in slot operations, including machine set-up, evaluation and reporting, or equivalent financial analysis experience preferred.
Experience with data visualization, reporting & dash boarding tools such as SAS visual Analytics or Tableau preferred.
Experience with scripting languages like SAS, Python or SQL preferred.
Must be able to work in fast paced, high performance environment with tight deadlines.
Requires ability to think critically and independently, while at the same time the ability to know when to ask for help; requires excellent common sense.
Ability to self-manage project based upon defined timelines and variable outcomes required.
Ability to complete projects that require long hours prepping presentation materials from not just a content, but even making them dynamic perspective.
Equivalent combination of education and progressive, relevant and direct experience may be considered in lieu of minimum educational/experience requirements indicated above.
Certificates/Licenses/Registrations
At the discretion of the San Manuel Tribal Gaming Commission you may be required to obtain and maintain a gaming license.
San Manuel Band of Mission Indians and San Manuel Casino will make reasonable accommodations in compliance with the Americans with Disabilities Act of 1990.

As one of the largest private employers in the Inland Empire, San Manuel deeply cares about the future, growth and well-being of its employees. Join our team today!",3.8,"San Manuel Casino
3.8","Highland, CA",-1,1001 to 5000 Employees,1986,Company - Private,Gambling,"Arts, Entertainment & Recreation",$100 to $500 million (USD),-1,42,81,61.5,San Manuel Casino,CA,34,1,1,1,1,0,0,analyst,na,4376
501,Epic Clindoc / Stork Business Systems Analyst-Project Coordinator,$42K-$81K (Glassdoor est.),"Epic Clindoc / Stork Business Systems Analyst-Project Coordinator


Location:

9299 College Pkwy, Fort Myers, FL
Department: IS Clinical Systems
Categories: IT
Type: Full-Time
Shift: 8:00 AM-4:30 PM
Schedule: Days

Description:

Do you want to join a health system dedicated to helping people live healthier, happier lives? Lee Health is the place for you. It is our Mission, to be a trusted partner, empowering healthier lives through care and compassion.

The Epic Clindoc Business Systems Analyst - Project Coordinator responsibilities may include but are not limited to:
Business Process Analyses, needs assessments, and preliminary cost/benefit analyses in to align IT solutions with business initiatives.
Prepare and execute functional system and program specifications using structured methodology.
Independently leads and coordinates medium and small projects responsible for managing and meeting project timeline, budget and quality parameters.
Applies advanced business systems analyst knowledge and expertise to accomplish business objective.
Responsible for the build, support, testing and implementation efforts related to Epic Clindoc, Stork and other related Inpatient Systems
Active participant in on-call rotation
Additional Experience Requirements:
Minimum 3 years of Epic Clindoc and Stork Experience
Clinical Nursing Experience in Inpatient Hospital Setting
Epic Clindoc Certification
Epic Stork Certification
Experience with device integration
Familiarity with CM/UM workflows
Additional Experience Preferences:
Epic Long Term Care (LTC) experience and/or certification
Experience with Reports/Meaningful Use/QRDA
Have Questions? Chat with the Recruiter:
Ryan Smith
ryan.smith@leehealth.org

Join our Live Chat Sessions:

Tuesday & Thursday, 12:30pm - 1:30pm EST. Click on the below link to register
https://app.brazenconnect.com/a/leehealth/s/a00oa/next/login

Monday & Friday 12:30pm - 1:30pm EST. Click on the below link to register:
https://app.brazenconnect.com/a/leehealth/s/agvq4/next/login

Requirements:

Educational Requirements
Required: Preferred:
Bachelor's Degree
Additional Requirements:
Or 3 years of experience.
Experience
Required:
3 years work related / IT Project Management
Preferred: Additional Requirements: State of Florida Licensure Requirements
Required:
not required
Additional Requirements: Certifications/Registration Requirements
Required: Preferred: Additional Requirements:",3.2,"Lee Health
3.2","Fort Myers, FL",-1,10000+ Employees,1916,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,42,81,61.5,Lee Health,FL,104,0,0,0,0,0,0,analyst,na,2426
502,"Sales Operations Analyst, Senior",$42K-$81K (Glassdoor est.),"About the Team

As the Senior Sales Operations Analyst, you will focus on the core market of the company – M&A Go-To-Market. In this role, you will play a crucial role in the success of the NA M&A Sales team. You will help sales team to maximize their sales and attainment through analytics, reporting, data streams and KPIs. You will be the partner of sales managers and directors in forecasting, territory planning & management as well as their business review cadence. You are the trusted advisor of the sales management team and will make supporting recommendations on ways to improve productivity and scale of the M&A Go-To-Market Organization.

Job Overview

We are seeking a high-energy, motivated Senior Sales Operations Analyst to represent SS&C Intralinks as we continue to expand our market share as the leading virtual data room provider. SS&C Intralinks is utilized as a cloud content management tool in mergers, acquisitions, divestitures, capital raises, corporate restructuring, and other strategic transactions. This is an excellent opportunity to grow a successful sales operations career with a company with proven technology and strong brand awareness.

Day to Day Responsibilities:
Own and execute timely, accurate, and insightful reports and analysis to field sales and sales management related to sales performance
Develop and present sales forecasts
Help sales team and sales management team prepare data for their team meetings as well as GTM/QBR meetings
Perform complex ad hoc analysis as required in support of Sales Organization
Analyze business needs, provide data and make recommendations to support sales management, field sales representatives, marketing and other business functional teams
Manage systems interfaces related to sales reporting, compensation, data processing, customer master data and territory management
Analyze issues and weakness in sales and operations process therefore can make recommendation to improve the processes to drive productivity and efficiency
Document processes and represent business group in corporate sales and marketing discussions
Assist with key sales planning activities during planning and budgeting cycle
Collaborate with Commission, Finance, IT and Business Technology and other divisions/departments to get tasks done and build cross functional relationship
Minimum Experience & Qualifications:
4+ years of sales operations experience
Sales operations experience in a software organization
Expert MS Office skills, particularly MS Excel
Experience digesting and articulating complex and accurate data to sales leaders within the organization
It would be great if you also had:
A Bachelor’s Degree
Experience using Salesforce
Experience using Tableau
SS&C Intralinks is an Equal Employment Opportunity employer and does not discriminate against any applicant for employment or employee on the basis of race, color, religious creed, gender, age, marital status, sexual orientation, national origin, disability, veteran status or any other classification protected by applicable discrimination laws.

SS&C Intralinks is an Equal Employment Opportunity employer and does not discriminate against any applicant for employment or employee on the basis of race, color, religious creed, gender, age, marital status, sexual orientation, national origin, disability, veteran status or any other classification protected by applicable discrimination laws.",3.7,"Intralinks, Inc.
3.7","New York, NY",-1,501 to 1000 Employees,1996,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,42,81,61.5,"Intralinks, Inc.",NY,24,1,0,0,1,0,0,analyst,senior,3423
503,Dynamics 365 Finance & Operations - Technical/Functional Consultant,$42K-$81K (Glassdoor est.),"Our Culture:

Stoneridge Software began with an idea: How can Microsoft implementations be done better? After considering the idea and continually seeing the need for a business partner who could successfully deliver software implementations, Eric Newell, Becky Newell and Cody Marshall founded Stoneridge Software. As a Microsoft Gold Partner, weve developed a proven process for project delivery and a laser focus on long-term support to empower our clients success. We know how to work hard but we also know how important it is to balance work with family and the rest of our lives. Stoneridge Software has cultivated an atmosphere of trust, community, and support that includes a flexible working environment, unlimited vacation, paid parental leave, continuous learning and development, and even beer on-tap. These initiatives, and many more have resulted in numerous Best Workplace awards and happy team members. We focus on allowing our team members to be authentically themselves whether thats creative, serious or nerdy. Does this sound like a team you would like to be a part of?

What we are Looking for:

Stoneridge Software is looking for a passionate steward of data to lead, develop and test ERP data migrations that will meet client business demands for meaningful up to date data sets. We are looking for adaptable candidates with both a broad set of technology skills to be able to design and oversee these complex, iterative data projects as well as a deep technology skill set to be able to troubleshoot environments, data sets and performance issues as the project progresses. It is important, critical work that truly enables our clients to implement the best solutions for their business.

The Technical/Functional Consultant is responsible for meeting with prospects and clients to understand their business data needs and to build iterative approaches to meet those needs.

A Day in the Life:
Serve as the primary client-facing technical resource to collaborate on components required to meet business objectives
Assist in development of data migration roadmap at entity-wide and business area level
Recognize and comprehend complex issues, process changes, and industry dynamics affecting the data being migrated
Include standards and guidelines for the effective and efficient delivery of enterprise data migration
Coordinate technical and functional requirements for data migration efforts and facilitate definition of project scope, goals and deliverables for development team supporting business needs
Represent subject matter expertise in business process, solution design, best practices, and technologies
Consult on technical environment requirements, setup and optimization as needed.
Preferred Qualifications:
Ability to document a clear set of requirements that can be interpreted by both business partners and data engineers
2-10 years of experience related to ERP data
Knowledge of data structures, hierarchies, business rule complexities
Proficient at integration and preparing, large, varied datasets for migration into an AX | D365 F&O Environment resulting in data that is congruent and reliable
Experienced in using iterative approaches that result in successful implementations
Possess a combination of business knowledge, strong problem solving skills, technical expertise and excellent written and communication skills.
Active listener who asks relevant questions to create relevant solution designs
Effective presenter able to deliver a solution in a way that makes sense for the requestor and addresses their primary needs
Knowledge of Microsoft Dynamics AX and Finance & Operations
Travel Required: Incumbent is expected to meet regularly with client teams primarily in the Midwest but may be expected to travel across the country if the project requires.

Benefits

Stoneridge Software is happy to provide the following benefits:
Health Insurance
HSA Contribution
Medical and Dependent Care FSA
Dental and Vision Insurance
Long-Term Disability
Life Insurance
Employee Assistance Program
Unlimited Vacation
Paid Paternity & Maternity Leave
401(k) Contribution
Cell Phone and Internet Reimbursement
Flexible work environment
Casual dress
Popcorn, beverages, and other snacks in office
Beer on tap
Stoneridge Software is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, veteran status and all the other fascinating characteristics that make us unique.

Powered by JazzHR",4.6,"Stoneridge Software
4.6","Minneapolis, MN",-1,51 to 200 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,42,81,61.5,Stoneridge Software,MN,8,1,0,0,0,0,0,na,na,4673
504,Commercial Auto Product Analyst - Remote Work from Home Opportunity,$42K-$81K (Glassdoor est.),"Overview


National Interstate is a member of Great American Insurance Group. As one of the leading commercial transportation insurers in the nation, we offer risk financing solutions in all 50 states tailored to meet the needs of a wide variety of transportation classes. Our offerings include traditional insurance and innovative alternative risk transfer (ART) programs, including more than a dozen group captive programs catering to niche wheels markets. We are proud to be a multiple Northcoast 99 winner and Cleveland Plain Dealer Top Workplace in Northeast Ohio. It is because of our talented and dedicated team that we are able to live out our company values of integrity, transparency, fairness, accountability, empowerment and collaboration with each transaction we make. If you are ready to join an engaging and driven team such as ours, we would love to hear from you!

Responsibilities
Contributes to and / or accountable for product premium volume growth and profitability results within assigned product lines.
Assists as primary product support contact for business units, agents, and other staff.
Assist with interactions with relevant departments such as Claims, Underwriting, Sales/Marketing, and provides customer service support (i.e. agents, regulators and industry groups).
May participate in business unit, compliance, claims, agency, program reviews and audits (i.e. compliance audits, rate/pricing reviews, and agency reviews.
Supports action plans and strategic direction for functional areas and maintain alignment with other product managers to ensure successful development of entire product line.
Supports the review, approval, implementation, and communication of assigned filings and ensures compliance with statutory requirements.
Participates in developing product and rate revisions, underwriting guidelines, manuals, and procedures.
Gathers and analyzes data from various sources specific to product.
Assists in monitoring product performance.
Provides summary analysis and communicates to business units.
May assist in administering training and communication materials and providing training as necessary on product / rate changes for staff, field, and agency personnel.
Participates in the development of new and revised insurance products, policies, and other required forms to ensure compliance with regulatory requirements and company guidelines.
Monitors pertinent insurance publications to determine impact on line of business. This may include:
Identifying emerging coverage issues, state regulatory concerns and business unit needs.
Developing action plans, implementing and communicating changes when appropriate.
Resolves and/or assists with researching, documenting, communicating moderately complex compliance related issues.
Provides technical advice to lower level positions and other functional areas.
May have responsibility for the performance and coaching of staff and may have a participatory role in decisions regarding development, hiring, firing, performance management, pay increases, etc., for direct reports.
Performs other duties as assigned.
Qualifications


Education: Bachelor’s Degree or equivalent experience.Field of Study: Business, Liberal Arts or a related disciplineExperience: 2 to 5 years of related underwriting, claims, or product experience.

Needs to be familiar with ISO Commercial Auto Ratings and filings",3.3,"National Interstate Corporation
3.3","Richfield, OH",-1,501 to 1000 Employees,1989,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion (USD),-1,42,81,61.5,National Interstate Corporation,OH,31,0,0,0,0,0,0,analyst,na,3388
505,Cybersecurity Technology Management Analyst,$42K-$81K (Glassdoor est.),"Job Title: Cybersecurity Technology Management Analyst
Location: Mclean VA 22102
Duration: Permanent

Clearance Required: Active Secret
Certification Required: IAM Level III

Roles & Responsibilities:
Responsible designing, developing, and testing all applications ensuring compliance with the applicable Information Assurance(IA) requirements and references.
Responsible for applying industry bets practices i.e. NIST RMF to ensure strong security controls are applied for highest security across the IT environment (Confidentiality, Integrity, and Availability).
Responsible for providing updates to the Risk Management Framework (RMF) documents for incorporating IA-related data for the used applications. Conduct timely application security testing and apply the appropriate risk mitigation measures, followed with performing patch installation and apply STIGs.
Overlook the entire RTC system to protect and prevent unauthorized access to Government sensitive data and IT resources by designing, and developing appropriate IA controls.
Responsible for maintaining all the security artifacts and documents in mass in coordination with Information Systems Security Manager(ISSM) and DLA Cybersecurity team.
Ensure ISSE is employed using the IATF processes for software engineering and IEEE standard and other required standards.
Responsible for creating and maintaining security artifacts such as System Security Plan (SSP), Security Assessment Plan/Report (SAP/SAR), Plans of Actions and Milestones (POA&M), COOP, Contingency Plan, etc. in coordination with ISSM.
Apply automated tools to identify and remediate vulnerabilities or weaknesses in the application design/coding that could be exploited by unauthorized sources by working with other DOD agency and Vendors as required to implement these IA controls.
Responsible for vulnerability management, system Certification and Accreditation (C&A) and completion of ATOs.
Responsible for performing all IA activities ensuring strong security posture and submission of deliverables (e.g. RMD Documents, artifacts updates, IA scan results, etc.) to PM.
Required Experience:
National Institute of Standards and Technology (NIST) C&A experience
Five (5) years of relevant experience
Relevant certification meeting DOD 8570.01 IAM level III.
About our Company: -

22nd Century Technologies is a business enterprise that supports demanding staffing programs for Corporations and State and Local Government Agencies. Its journey began in 1997 by supporting large Federal contracts which nudged us in the direction of creating large candidate pools across the country. Over the last 20 years, we have built a strong business model that is carefully constructed to deliver on multiple facets. We have proven past performance of providing services that exceed our clients' expectations. Today 22nd Century technologies supports clients in all 50 states and has grown to be a company that is trusted and sought for providing a complex mix of workforce solutions. With a firm grip on the entire spectrum of staffing solutions, we have placed more than 500,000 skilled resources and delivered 15 million+ man-hours.
“22nd Century Technologies is an Equal Opportunity Employer"" and “US Citizens & all other parties authorized to work in the US are encouraged to apply.""",3.6,"22nd Century Technologies Inc.
3.6","McLean, VA",-1,1001 to 5000 Employees,1997,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,42,81,61.5,22nd Century Technologies Inc.,VA,23,0,0,0,0,0,0,analyst,na,3309
